まぬか,マヌカ
ききょう,桔梗
まや,舞夜
しなの,しなの
\まてりある;,マテリアル
\しぇーだー;,シェーダー
\ぷれはぶ;,プレハブ
\あせっと;,アセット
\ぶいしーしー;,VCC
\ゆにてぃ;,Unity
\ひえらるきー;,ヒエラルキー
\いんすぺくたー;,インスペクター
\しぇいぷきー;,シェイプキー
\ふるとら;,フルトラ
\きゃりぶれーしょん;,キャリブレーション
\いんばいと;,インバイト
\りくいん;,リクイン
\ぽーたる;,ポータル
\あばたー;,アバター
\ぐるーぷ;,グループ
\そーしゃる;,ソーシャル
\りすぽーん;,リスポーン
\しーるど;\れべる;,シールドレベル
しゅうごうしゃしん,集合写真
えろぬの,エロ布
おは\つい;,おはツイ
\じょいん;せんそう,Join戦争
むごんぜい,無言勢
\わーるど;めぐり,ワールド巡り
\ぶいあーる;いんしゅ,VR飲酒
かきおき,書き置き
\へいろー;,ヘイロー
たとうるい,多糖類
りょうせいるい,両声類
おは\つい;ぜい,おはツイ勢
\ぶいあーるちゃっと;はじめました,VRChat始めました
\ふじやま;,FUJIYAMA
ぽぴよこ,ポピ横
\じぇーぴーてぃー;,JPT
なぎさ,NAGiSA
\いべんと;\かれんだー;,イベントカレンダー
\きゅーぶいぺん;,QVpen
１２じにはねます,12時には寝ます
ふくすけてますよ,服透けてますよ
おさとうとでーと,お砂糖とデート
おしおしました,お塩しました
きのうふたりでいたよね？,昨日二人で居たよね？
\びじたー;をかこめ！,Visitorを囲め！
\ぶい;すいはやめなさい,V睡はやめなさい
はじめまして,はじめまして
さいきんどう？,最近どう？
かいへんかわいいですね,改変かわいいですね
そのこなんてこですか？,その子なんて子ですか？
けいりょうかしよう,軽量化しよう
\ふれんど;になりましょう,フレンドになりましょう
\ゆにてぃー;なんもわからん,Unityなんもわからん
なでて,なでて
あなたにあえてよかった,あなたに会えてよかった
\みらー;どこ？,ミラーどこ？
どうきですね,同期ですね
\すちーむ;でむりょうです,Steamで無料です
いっしょにねよう,一緒に寝よう
ぽちっちゃった,ポチっちゃった
えっさくしゃのかたですか？,えっ作者の方ですか？
こんにちは,こんにちは
こんばんは,こんばんは
おはよう,おはよう
２１じにまってるね,２１時に待ってるね
しゅうかいいってくる,集会行ってくる
\ちゅーとりある;たっせい,チュートリアル達成
いくらつかったの？,いくら使ったの？
\おふ;かいしませんか,オフ会しませんか
それ\ぐろーばる;だよ,それグローバルだよ
この\ふれんど;だれだっけ,このフレンド誰だっけ
いどうします,移動します
\とらっきんぐ;とんだ,トラッキング飛んだ
はやくねなさい,早く寝なさい
そこ\ふれんど;なの！？,そこフレンドなの！？
せかいがせますぎる,世界が狭すぎる
このかきおきだれのだろう,この書き置き誰のだろう
みんな\ぷらべ;,みんなプラベ
ほらわはやめよう,ホラワはやめよう
じんるいけもかけいかく,人類ケモ化計画
そろそろおちます,そろそろ落ちます
\ぽーたる;おいたよ,ポータル置いたよ
\こらいだー;がない,コライダーが無い
おつかれさまです,お疲れ様です
\ぶい;かんあります,V感あります
\ばっくあっぷ;をわすれずに,バックアップを忘れずに
\いんばいと;きた,インバイト来た
そいねしよ,添い寝しよ
たぶんはじめまして,多分初めまして
かわいいね,可愛いね
つーしょとろう,ツーショ撮ろう
